#time, encoder, angular velocity, steering angle
14.402290, 5473972, 0.305811, 0.423007
14.436340, 5475232, 0.322008, 0.435885
14.469050, 5476527, 0.353179, 0.449322
14.501672, 5477755, 0.341697, 0.462200
14.535191, 5479076, 0.381780, 0.476198
14.569389, 5480375, 0.373002, 0.489915
14.602556, 5481722, 0.397588, 0.503633
14.636004, 5483038, 0.416626, 0.517630
14.668789, 5484398, 0.455184, 0.530788
14.702388, 5485690, 0.439553, 0.542266
14.735411, 5487076, 0.432768, 0.553184
14.770209, 5488427, 0.456577, 0.562143
14.802500, 5489833, 0.478210, 0.569981
14.835861, 5491220, 0.490941, 0.576700
14.869170, 5492621, 0.544588, 0.582579
14.902482, 5494037, 0.496794, 0.588178
14.935253, 5495504, 0.543152, 0.593217
14.968559, 5496934, 0.543482, 0.597417
15.002913, 5498472, 0.531049, 0.601336
15.035315, 5499873, 0.568050, 0.604135
15.069694, 5501333, 0.588420, 0.605815
15.102383, 5502796, 0.535987, 0.606375
15.134910, 5504328, 0.607977, 0.606375
15.169072, 5505821, 0.596212, 0.606375
15.201986, 5507366, 0.574280, 0.606095
15.235045, 5508880, 0.578098, 0.606095
15.269271, 5510384, 0.559451, 0.606095
15.302248, 5511903, 0.612128, 0.605815
15.335416, 5513469, 0.572442, 0.604975
15.369974, 5515003, 0.605690, 0.603296
15.402587, 5516539, 0.555088, 0.600776
15.434942, 5518120, 0.607196, 0.597137
15.469577, 5519650, 0.583106, 0.592937
15.502046, 5521183, 0.598826, 0.587618
15.535297, 5522786, 0.582284, 0.581179
15.569161, 5524348, 0.604728, 0.573341
15.602848, 5525966, 0.562403, 0.564942
15.635647, 5527544, 0.596968, 0.555984
15.668552, 5529109, 0.570550, 0.546185
15.702428, 5530644, 0.574930, 0.536107
15.735144, 5532232, 0.550020, 0.524909
15.769122, 5533797, 0.558752, 0.513431
15.802239, 5535411, 0.520159, 0.500553
15.835162, 5536971, 0.521373, 0.487676
15.869097, 5538525, 0.482587, 0.474798
15.901389, 5540082, 0.499050, 0.461920
15.935300, 5541686, 0.473496, 0.448762
15.968818, 5543248, 0.469013, 0.436164
16.001965, 5544813, 0.454565, 0.424127
16.035235, 5546432, 0.467388, 0.412649
